Stanice metra,Latitude,Longtitude
Depo Hostivař,50.075711,14.515628
Skalka,50.068056,14.5075
Stašnička,50.072778,14.491111
Želivského,50.078408,14.47409
Flora,50.077631,14.461236
Jiřího z Poděbrad,50.07783,14.450295
Náméstí Míru,50.075333,14.43769
Muzeum,50.079865,14.430808
Můstek,50.083784,14.423339
Staroměstská,50.088185,14.417633
Malostránská,50.091236,14.409492
Hradčanská,50.097214,14.404569
Dejvická,50.100594,14.392014
Bořislavka,50.09846,14.362713
Nádraží Veleslavín,50.095854,14.347399
Petřiny,50.086459,14.345147
Nemocnice Motol,50.0753,14.341
Černý most,50.10917,14.5775
Rajská zahrada,50.106667,14.560556
Hloubětín,50.10611,14.53806
Kolbenova,50.11028,14.51306
Vysočanská,50.11139,14.50194
Českomoravská,50.10611,14.49167
Palmovka,50.103611,14.474444
Invalidovna,50.09667,14.46306
Křižíkova,50.0925,14.45139
Florenc,50.091,14.439
Náměstí Republiky,50.08891,14.430471
Můstek,50.083784,14.423339
Národní třída,50.08,14.42
Karlovo náměstí,50.076,14.418
Anděl,50.070289,14.403947
Smíchovské nádraží,50.061277,14.409069
Radlická,50.05778,14.38861
Jinonice,50.05444,14.37111
Nové Butovice,50.050833,14.351944
Hůrka,50.05,14.343
Lužiny,50.045,14.33
Luka,50.045556,14.322222
Stodůlky,50.046944,14.306944
Zličín,50.053611,14.290556
Háje,50.030556,14.526667
Opatov,50.027778,14.508333
Chodov,50.03083,14.49083
Roztyly,50.03722,14.47778
Kačerov,50.04194,14.46028
Budějovická,50.044444,14.448889
Pankrác,50.05083,14.43944
Pražského povstání,50.05611,14.43444
Vyšehrad,50.063056,14.430556
I.P.Pavlova,50.07528,14.43111
Muzeum,50.079865,14.430808
Hlavní nádraží,50.082778,14.435556
Florenc,50.091,14.439
Vltavská,50.09861,14.4375
Nádraží Holešovice,50.108881,14.440105
Kobylisy,50.12306,14.45167
Ládví,50.12667,14.46944
Střížkov,50.12611,14.48944
Prosek,50.11861,14.49889
Letňany,50.12528,14.51389
